Taken_product,Yearly_avg_view_on_travel_page,preferred_device,total_likes_on_outstation_checkin_given,yearly_avg_Outstation_checkins,member_in_family,preferred_location_type,Yearly_avg_comment_on_travel_page,total_likes_on_outofstation_checkin_received,week_since_last_outstation_checkin,following_company_page,montly_avg_comment_on_company_page,working_flag,travelling_network_rating,Adult_flag,Daily_Avg_mins_spend_on_traveling_page
0,255.0,2,14665.0,1.0,4,3,53.0,11994.0,0,0,11.0,0,3,0,13.0
0,157.0,2,13685.0,15.0,2,3,96.0,1232.0,1,0,14.0,0,4,0,0.0
1,255.0,2,24465.0,1.0,1,7,83.0,2960.0,2,0,11.0,0,3,0,8.0
0,397.0,2,44870.0,1.0,3,4,58.0,16572.0,4,0,11.0,0,4,1,26.0
1,240.0,2,39375.0,16.0,1,3,72.0,3919.0,1,1,22.0,1,2,0,10.0
0,271.0,2,24185.0,1.0,4,11,48.0,6825.0,0,0,11.0,0,4,1,10.0
0,330.0,2,16695.0,1.0,4,7,42.0,10248.0,3,0,14.0,0,4,1,24.0
0,345.0,2,28076.0,1.0,4,11,83.0,16572.0,3,0,12.0,0,4,0,22.0
0,247.0,2,28076.0,1.0,3,7,78.0,2496.0,4,0,11.0,0,4,0,7.0
0,330.0,2,51065.0,10.0,4,10,41.0,6465.0,2,1,13.0,0,4,0,9.0
0,225.0,2,4375.0,1.0,2,7,83.0,2206.0,1,0,13.0,0,1,0,10.0
1,292.0,2,31325.0,1.0,3,2,56.0,2086.0,3,0,14.0,0,3,1,19.0
1,180.0,2,28455.0,1.0,3,7,61.0,2293.0,2,1,16.0,0,1,1,6.0
0,322.0,2,44555.0,1.0,2,7,72.0,2645.0,1,0,12.0,0,4,1,6.0
1,375.0,2,30415.0,1.0,2,11,86.0,2683.0,1,1,14.0,0,3,0,3.0
0,262.0,2,31150.0,1.0,3,11,97.0,2014.0,1,0,13.0,0,1,0,2.0
0,270.0,2,29820.0,1.0,4,3,82.0,3419.0,9,1,14.0,0,4,1,6.0
0,247.0,2,39935.0,1.0,3,3,42.0,5376.0,2,0,19.0,0,1,1,10.0
0,262.0,2,16240.0,1.0,2,10,75.0,1951.0,1,0,12.0,0,3,1,1.0
0,202.0,2,43400.0,1.0,4,3,33.0,2341.0,1,0,13.0,0,4,1,1.0
1,195.0,2,47495.0,25.0,3,3,48.0,2293.0,1,0,12.0,0,3,0,1.0
0,202.0,2,34790.0,1.0,3,3,37.0,8726.0,1,0,15.0,0,4,0,9.0
0,225.0,2,25235.0,1.0,2,7,58.0,4011.0,1,0,23.0,1,4,0,12.0
1,307.0,2,47600.0,12.0,3,2,49.0,16572.0,1,0,12.0,0,4,0,23.0
0,255.0,2,28076.0,23.0,4,11,72.0,4568.0,0,0,20.0,1,3,0,10.0
0,277.0,2,28076.0,19.0,2,3,73.0,3022.0,4,0,21.0,1,1,0,8.0
0,345.0,2,42385.0,1.0,4,11,75.0,5772.0,4,0,21.0,1,3,0,14.0
0,262.0,2,28076.0,1.0,1,3,75.0,2269.0,1,0,19.0,0,4,0,1.0
1,360.0,2,28076.0,1.0,2,3,98.0,5381.0,9,1,13.0,0,4,0,23.0
1,210.0,2,50190.0,1.0,4,2,50.0,3441.0,1,1,13.0,0,3,0,2.0
0,330.0,2,52080.0,1.0,5,11,75.0,5454.0,5,1,21.0,1,3,1,9.0
0,262.0,2,38395.0,11.0,2,7,79.0,9884.0,2,1,13.0,0,3,1,10.0
0,195.0,2,50505.0,23.0,3,11,47.0,4157.0,7,1,19.0,0,3,1,5.0
0,247.0,2,18025.0,1.0,2,3,98.0,13458.0,1,1,12.0,0,3,0,15.0
0,262.0,2,29855.0,18.0,5,3,71.0,9069.0,1,0,22.0,1,4,1,9.0
0,262.0,2,39970.0,23.0,4,7,4.5,4014.0,3,1,15.0,0,3,1,4.0
0,232.0,2,22925.0,1.0,4,3,48.0,5915.0,3,0,22.0,1,4,1,10.0
0,277.0,2,39025.0,1.0,4,3,51.0,5993.0,1,0,18.0,0,3,1,7.0
0,240.0,2,14945.0,1.0,3,7,33.0,6162.0,1,1,22.0,1,2,1,9.0
0,285.0,2,22855.0,29.0,5,3,50.0,2406.0,1,0,11.0,0,4,0,10.0
0,375.0,2,34615.0,1.0,2,7,43.0,16572.0,5,1,12.0,0,4,1,29.0
0,271.0,2,50225.0,4.0,3,3,99.0,7637.0,7,0,11.0,0,4,0,28.0
0,270.0,2,42805.0,4.0,3,2,59.0,10096.0,1,0,13.0,0,2,1,17.0
0,412.0,2,29260.0,1.0,3,7,33.0,14756.0,2,1,14.0,0,3,1,21.0
0,270.0,2,41825.0,11.0,3,3,95.0,6499.0,1,0,13.0,0,3,0,6.0
0,271.0,2,46865.0,1.0,3,3,59.0,9724.0,2,0,17.0,0,3,1,25.0
0,262.0,2,23240.0,1.0,3,7,79.0,2194.0,4,0,13.0,0,4,1,5.0
1,270.0,2,11130.0,1.0,3,7,79.0,3388.0,0,1,17.0,0,1,1,2.0
0,271.0,2,42875.0,1.0,1,3,57.0,5473.0,7,0,11.0,0,4,0,20.0
0,217.0,2,46480.0,1.0,3,0,76.0,2703.0,0,0,23.0,1,4,1,6.0
0,232.0,2,37870.0,1.0,4,7,87.0,2501.0,1,0,17.0,0,2,0,1.0
0,240.0,2,19180.0,1.0,3,3,66.0,6220.0,1,0,17.0,0,2,1,10.0
0,270.0,2,4620.0,1.0,3,3,55.0,3038.0,3,0,12.0,0,2,0,5.0
0,232.0,2,26110.0,1.0,4,3,61.0,4424.0,1,0,23.0,1,4,0,11.0
0,262.0,2,27160.0,1.0,4,11,32.0,4312.0,0,0,14.0,0,2,0,16.0
0,271.0,2,6755.0,1.0,4,10,52.0,13245.0,4,1,14.0,0,2,0,17.0
0,277.0,2,13895.0,1.0,4,7,4.5,13664.0,4,0,13.0,0,1,0,16.0
0,345.0,2,33075.0,1.0,2,7,80.0,5021.0,8,1,22.0,1,4,1,16.0
0,225.0,2,29820.0,1.0,1,3,55.0,5126.0,1,1,12.0,0,3,1,10.0
0,262.0,2,42490.0,1.0,3,7,4.5,2859.0,1,0,18.0,0,1,0,6.0
0,412.0,2,3885.0,1.0,2,3,70.0,10239.0,3,0,14.0,0,4,1,24.0
0,285.0,2,20055.0,1.0,3,7,79.0,5329.0,7,1,12.0,0,4,1,17.0
0,255.0,2,40355.0,1.0,2,7,94.0,4325.0,1,0,15.0,0,3,0,5.0
0,271.0,2,49000.0,1.0,3,3,49.0,7260.0,4,0,11.0,0,1,0,33.0
0,271.0,2,18935.0,1.0,1,2,62.0,2322.0,3,0,13.0,0,3,1,3.0
0,382.0,2,15120.0,1.0,4,3,96.0,2075.0,3,0,23.0,1,2,1,10.0
0,225.0,2,10080.0,1.0,3,3,99.0,4152.0,1,0,19.0,0,1,1,11.0
1,345.0,2,23415.0,1.0,2,7,64.0,9619.0,1,0,16.0,0,4,0,9.0
0,300.0,2,18550.0,1.0,4,3,78.0,13503.0,1,0,22.0,1,4,1,22.0
0,382.0,2,22120.0,21.0,4,11,71.0,5441.0,0,1,22.0,1,4,0,11.0
0,225.0,2,46690.0,1.0,2,7,63.0,5209.0,1,1,12.0,0,2,1,11.0
0,345.0,2,22330.0,1.0,3,7,40.0,10673.0,2,1,13.0,0,3,1,21.0
0,240.0,2,38255.0,1.0,4,7,87.0,5010.0,1,0,16.0,0,1,0,12.0
0,405.0,2,42595.0,1.0,4,2,60.0,13549.0,9,0,12.0,0,1,1,16.0
0,180.0,2,47355.0,1.0,2,10,75.0,4999.0,0,0,21.0,1,1,1,4.0
0,210.0,2,28076.0,1.0,3,7,75.0,4221.0,1,0,15.0,0,2,0,5.0
0,435.0,2,23870.0,10.0,4,7,37.0,13872.0,0,0,13.0,0,3,0,33.0
0,330.0,2,17115.0,23.0,3,7,67.0,2042.0,4,0,12.0,0,3,1,17.0
1,277.0,2,28245.0,1.0,4,13,63.0,2073.0,4,1,22.0,1,4,0,7.0
0,240.0,2,28945.0,1.0,1,3,71.0,2956.0,1,0,13.0,0,4,0,1.0
1,150.0,2,30485.0,1.0,3,3,66.0,2926.0,1,1,18.0,0,2,0,1.0
0,255.0,2,23275.0,1.0,4,10,41.0,4809.0,1,0,14.0,0,3,0,16.0
0,277.0,2,36400.0,1.0,2,3,100.0,5163.0,5,0,14.0,0,4,1,17.0
0,271.0,2,49700.0,1.0,4,13,32.0,16572.0,9,0,21.0,1,4,1,30.0
0,375.0,2,39025.0,1.0,3,3,73.0,16572.0,3,1,19.0,0,1,0,28.0
1,187.0,2,8400.0,1.0,3,11,46.0,5744.0,1,1,11.0,0,4,0,6.0
0,187.0,2,44800.0,1.0,1,7,64.0,2889.0,1,0,11.0,0,3,1,2.0
0,165.0,2,18690.0,15.0,3,7,59.0,2871.0,1,0,15.0,0,3,0,1.0
0,382.0,2,50960.0,1.0,4,7,4.5,7484.0,3,0,20.0,1,3,0,23.0
1,255.0,2,23030.0,1.0,3,3,66.0,6074.0,1,1,24.0,1,4,0,9.0
0,405.0,2,4970.0,26.0,3,13,4.5,16572.0,2,1,12.0,0,3,0,23.0
0,180.0,2,39445.0,18.0,1,3,52.0,2774.0,0,0,12.0,0,3,1,6.0
0,255.0,2,36085.0,1.0,4,3,45.0,4505.0,6,0,15.0,0,3,1,12.0
0,277.0,2,41615.0,1.0,3,3,87.0,7428.0,2,0,12.0,0,1,0,12.0
0,255.0,2,47390.0,1.0,3,7,45.0,11631.0,2,0,12.0,0,4,0,14.0
0,270.0,2,51345.0,11.0,2,2,92.0,9738.0,0,0,14.0,0,3,1,10.0
0,270.0,2,32270.0,1.0,2,3,39.0,2835.0,5,0,22.0,1,1,1,7.0
0,322.0,2,13790.0,26.0,2,0,92.0,16572.0,1,1,12.0,0,4,1,25.0
0,225.0,2,45920.0,23.0,3,3,75.0,2613.0,1,0,25.0,1,3,1,10.0
0,247.0,2,26250.0,22.0,2,11,75.0,6146.0,0,0,13.0,0,1,1,8.0
1,271.0,2,15435.0,14.0,4,3,72.0,4963.0,9,1,18.0,0,1,1,7.0
0,382.0,2,23940.0,1.0,3,3,51.0,16572.0,7,0,13.0,0,3,0,23.0
1,232.0,2,8715.0,1.0,4,3,76.0,6172.0,4,1,18.0,0,2,0,12.0
0,195.0,2,29435.0,1.0,3,10,46.0,2368.0,1,0,19.0,0,3,0,5.0
1,435.0,2,5145.0,23.0,4,7,94.0,10312.0,1,0,12.0,0,4,1,33.0
1,94.0,2,18480.0,22.0,1,11,50.0,1675.0,1,1,19.0,0,4,0,0.0
0,165.0,2,20790.0,1.0,1,2,100.0,2523.0,0,0,14.0,0,3,1,3.0
0,367.0,2,16450.0,20.0,4,7,96.0,6567.0,1,0,14.0,0,3,0,16.0
0,322.0,2,33495.0,28.0,3,7,72.0,4739.0,4,0,12.0,0,4,0,18.0
0,375.0,2,28315.0,12.0,3,11,77.0,9208.0,4,0,11.0,0,4,0,16.0
1,232.0,2,18970.0,20.0,3,3,71.0,4559.0,3,1,11.0,0,3,1,4.0
0,307.0,2,28070.0,1.0,1,3,96.0,8189.0,3,1,13.0,0,3,1,12.0
0,195.0,2,47425.0,25.0,1,3,61.0,2942.0,1,0,23.0,1,4,1,8.0
0,270.0,2,7560.0,1.0,2,7,84.0,4941.0,6,0,20.0,1,4,1,7.0
1,382.0,2,40250.0,1.0,4,3,53.0,10650.0,2,0,15.0,0,4,0,18.0
0,292.0,2,28076.0,1.0,4,3,47.0,5902.0,4,0,14.0,0,3,1,17.0
0,187.0,2,28076.0,28.0,3,3,41.0,8639.0,2,0,18.0,0,4,0,6.0
0,225.0,2,28076.0,1.0,3,13,48.0,6347.0,0,1,19.0,0,4,0,12.0
1,240.0,2,36155.0,1.0,3,7,41.0,4200.0,7,0,22.0,1,1,0,10.0
0,271.0,2,46060.0,29.0,3,7,83.0,3452.0,5,0,13.0,0,2,0,9.0
0,285.0,2,12740.0,1.0,5,2,32.0,4317.0,3,1,20.0,1,2,0,19.0
0,225.0,2,15330.0,18.0,3,3,75.0,2632.0,1,0,14.0,0,3,0,5.0
0,240.0,2,24115.0,1.0,2,7,75.0,4668.0,0,0,17.0,0,4,1,9.0
0,225.0,2,7035.0,1.0,3,2,75.0,3204.0,5,0,14.0,0,4,1,8.0
0,225.0,2,49945.0,1.0,1,7,75.0,2720.0,0,0,13.0,0,4,0,6.0
0,307.0,2,29995.0,10.0,3,3,91.0,16572.0,4,0,13.0,0,2,1,21.0
0,307.0,2,32655.0,1.0,4,3,94.0,2238.0,2,0,21.0,1,4,1,7.0
0,94.0,2,28076.0,1.0,1,7,79.0,1483.0,1,0,14.0,0,4,0,1.0
0,300.0,2,28076.0,26.0,3,7,54.0,5605.0,1,0,11.0,0,1,1,20.0
0,262.0,2,28076.0,1.0,5,11,94.0,7295.0,1,0,13.0,0,1,1,10.0
0,397.0,2,50260.0,1.0,2,11,34.0,2306.0,2,1,20.0,1,4,1,13.0
0,271.0,2,28076.0,1.0,3,3,60.0,2348.0,8,0,18.0,0,3,1,20.0
0,240.0,2,33845.0,1.0,3,11,43.0,8998.0,1,0,14.0,0,4,0,9.0
0,217.0,2,52360.0,1.0,1,2,41.0,4319.0,1,0,13.0,0,1,1,10.0
0,382.0,2,40915.0,1.0,4,7,34.0,6132.0,2,0,17.0,0,3,0,10.0
0,435.0,2,40075.0,1.0,3,7,75.0,3346.0,4,1,20.0,1,2,1,9.0
0,300.0,2,22050.0,1.0,4,11,67.0,10855.0,7,0,11.0,0,1,1,15.0
0,255.0,2,10605.0,1.0,4,11,75.0,2231.0,6,0,18.0,0,4,1,6.0
0,165.0,2,28076.0,19.0,1,7,80.0,2323.0,1,0,24.0,1,1,1,2.0
0,202.0,2,24185.0,1.0,3,7,57.0,2024.0,6,0,18.0,0,4,1,6.0
0,210.0,2,28076.0,21.0,3,7,42.0,2713.0,1,0,11.0,0,3,1,5.0
0,427.0,2,28076.0,24.0,2,3,83.0,9439.0,3,1,16.0,0,2,1,12.0
0,202.0,2,50750.0,1.0,3,7,79.0,2566.0,1,1,15.0,0,4,1,1.0
0,375.0,2,50820.0,11.0,3,3,53.0,16572.0,3,0,15.0,0,2,0,21.0
0,307.0,2,16275.0,14.0,3,3,56.0,2451.0,4,0,12.0,0,1,1,13.0
0,225.0,2,46865.0,1.0,3,0,41.0,9419.0,2,0,12.0,0,3,1,12.0
0,285.0,2,24570.0,1.0,4,3,75.0,8686.0,4,0,22.0,1,3,0,12.0
0,240.0,2,28076.0,1.0,5,3,75.0,3038.0,3,0,20.0,1,1,0,8.0
0,202.0,2,40495.0,17.0,3,2,75.0,3058.0,0,1,16.0,0,4,1,6.0
1,94.0,2,21070.0,1.0,1,2,100.0,2325.0,0,0,21.0,1,1,0,1.0
0,270.0,2,51800.0,1.0,2,7,4.5,2088.0,4,0,12.0,0,3,0,13.0
0,225.0,2,3885.0,1.0,3,7,66.0,3072.0,1,0,11.0,0,3,1,12.0
0,271.0,2,44380.0,1.0,2,3,4.5,5006.0,4,1,11.0,0,1,1,9.0
0,271.0,2,24955.0,1.0,3,3,67.0,4257.0,4,1,18.0,0,3,1,19.0
0,247.0,2,4690.0,1.0,3,3,90.0,2500.0,0,0,14.0,0,1,0,4.0
1,94.0,2,10605.0,1.0,3,3,47.0,1102.0,1,0,22.0,1,3,0,1.0
0,345.0,2,18410.0,1.0,2,11,92.0,10453.0,1,0,25.0,1,3,1,24.0
0,285.0,2,48300.0,1.0,2,3,75.0,2288.0,1,0,12.0,0,3,0,2.0
0,232.0,2,4900.0,12.0,1,7,95.0,3929.0,8,1,23.0,1,3,1,7.0
0,255.0,2,22015.0,27.0,2,7,95.0,2311.0,2,0,15.0,0,4,0,9.0
1,307.0,2,47460.0,20.0,2,11,70.0,3140.0,1,1,22.0,1,4,0,4.0
0,375.0,2,11480.0,1.0,3,7,86.0,3690.0,2,0,15.0,0,4,1,5.0
0,397.0,2,37940.0,13.0,2,7,57.0,4450.0,1,0,11.0,0,3,1,5.0
0,247.0,2,32585.0,14.0,3,7,72.0,2756.0,1,0,13.0,0,4,1,8.0
0,300.0,2,34615.0,1.0,10,7,46.0,16572.0,1,0,14.0,0,2,1,21.0
0,412.0,2,24220.0,14.0,4,7,61.0,16572.0,8,0,11.0,0,4,0,33.0
0,255.0,2,37415.0,1.0,1,3,45.0,9547.0,1,0,17.0,0,3,0,10.0
0,382.0,2,10955.0,1.0,3,7,98.0,13734.0,3,0,18.0,0,3,0,21.0
0,271.0,2,24465.0,1.0,4,3,65.0,16572.0,0,0,14.0,0,1,1,33.0
0,202.0,2,31290.0,1.0,3,7,99.0,2279.0,1,0,16.0,0,4,0,7.0
1,262.0,2,19460.0,23.0,2,3,75.0,5916.0,3,0,13.0,0,1,0,8.0
0,322.0,2,47040.0,1.0,3,7,75.0,2089.0,4,0,14.0,0,4,1,7.0
0,271.0,2,41825.0,1.0,2,7,75.0,16572.0,9,0,23.0,1,4,1,22.0
0,277.0,2,10150.0,21.0,3,3,65.0,3564.0,1,1,12.0,0,1,1,8.0
0,262.0,2,28076.0,1.0,3,7,37.0,4425.0,5,0,11.0,0,4,0,10.0
0,271.0,2,32410.0,21.0,2,7,36.0,5265.0,2,0,16.0,0,2,1,11.0
0,285.0,2,44135.0,1.0,4,3,88.0,6553.0,9,0,14.0,0,2,0,14.0
0,285.0,2,37940.0,29.0,3,2,54.0,6261.0,3,0,18.0,0,1,1,9.0
0,202.0,2,16520.0,1.0,1,2,60.0,4298.0,5,0,19.0,0,3,1,6.0
0,367.0,2,35070.0,18.0,4,3,92.0,6804.0,1,1,15.0,0,1,1,7.0
0,255.0,2,30730.0,10.0,4,7,43.0,3815.0,1,1,17.0,0,4,1,5.0
0,300.0,2,31675.0,19.0,2,7,99.0,2741.0,8,1,15.0,0,3,1,15.0
1,285.0,2,41300.0,29.0,1,7,70.0,6673.0,7,1,19.0,0,2,0,17.0
1,217.0,2,4235.0,27.0,3,11,35.0,7639.0,1,0,22.0,1,4,1,10.0
0,165.0,2,39760.0,1.0,3,3,60.0,2328.0,1,1,16.0,0,1,1,4.0
0,270.0,2,22225.0,18.0,1,7,73.0,2153.0,1,0,13.0,0,1,0,8.0
0,300.0,2,40285.0,1.0,5,3,63.0,4876.0,9,0,14.0,0,4,1,5.0
0,345.0,2,22540.0,1.0,4,7,97.0,9396.0,7,0,16.0,0,3,1,17.0
1,240.0,2,36575.0,1.0,4,7,32.0,10400.0,1,0,11.0,0,3,0,14.0
0,225.0,2,29015.0,1.0,1,3,88.0,8474.0,1,0,22.0,1,3,0,12.0
0,202.0,2,43470.0,20.0,3,3,90.0,9981.0,1,0,14.0,0,4,0,7.0
0,382.0,2,51415.0,1.0,4,3,81.0,12490.0,5,0,16.0,0,4,1,16.0
1,225.0,2,35175.0,1.0,3,2,88.0,2657.0,5,1,11.0,0,3,0,8.0
0,307.0,2,28076.0,1.0,3,3,75.0,13591.0,3,1,18.0,0,3,0,16.0
1,225.0,2,28076.0,26.0,4,11,52.0,6696.0,5,0,15.0,0,3,0,9.0
1,217.0,2,34720.0,1.0,3,2,75.0,2058.0,0,0,14.0,0,4,0,7.0
0,271.0,2,36820.0,1.0,3,7,75.0,8865.0,6,0,12.0,0,4,0,23.0
0,405.0,2,40145.0,1.0,3,11,52.0,5940.0,2,0,14.0,0,4,1,16.0
0,270.0,2,48860.0,1.0,2,3,62.0,5914.0,8,0,16.0,0,4,0,16.0
0,247.0,2,5145.0,1.0,4,7,47.0,2622.0,6,0,21.0,1,4,0,7.0
0,277.0,2,23205.0,11.0,3,10,47.0,12185.0,1,1,14.0,0,3,1,10.0
0,285.0,2,4165.0,1.0,3,3,76.0,10609.0,0,0,12.0,0,3,1,17.0
0,232.0,2,34265.0,1.0,4,7,90.0,4345.0,0,0,12.0,0,4,1,6.0
0,271.0,2,4970.0,1.0,3,3,70.0,2177.0,3,0,17.0,0,1,1,7.0
0,277.0,2,11165.0,1.0,4,11,41.0,2793.0,4,0,17.0,0,3,1,13.0
0,217.0,2,28076.0,1.0,1,7,42.0,7918.0,1,0,14.0,0,4,1,11.0
0,262.0,2,33040.0,1.0,3,11,92.0,8789.0,1,0,14.0,0,1,0,10.0
1,217.0,2,31360.0,18.0,1,7,86.0,2389.0,1,1,13.0,0,3,0,4.0
0,271.0,2,46305.0,1.0,3,3,89.0,3212.0,7,0,15.0,0,2,0,6.0
0,271.0,2,18620.0,1.0,2,2,58.0,16572.0,1,0,11.0,0,4,0,22.0
0,271.0,2,28630.0,1.0,2,7,52.0,2267.0,8,0,17.0,0,4,0,7.0
0,375.0,2,29890.0,1.0,4,7,68.0,16572.0,3,0,11.0,0,3,1,32.0
1,247.0,2,28455.0,14.0,3,7,58.0,2436.0,5,1,13.0,0,3,1,8.0
0,322.0,2,36190.0,16.0,3,11,80.0,16064.0,5,1,22.0,1,3,1,22.0
1,247.0,2,16275.0,1.0,2,3,39.0,2707.0,7,0,20.0,1,1,0,13.0
0,271.0,2,28076.0,1.0,4,3,79.0,16572.0,1,1,18.0,0,4,0,33.0
0,240.0,2,28076.0,1.0,2,3,56.0,3931.0,2,0,11.0,0,1,1,6.0
1,240.0,2,18025.0,1.0,3,0,62.0,3730.0,0,1,14.0,0,4,0,4.0
0,292.0,2,50085.0,1.0,4,7,96.0,2232.0,7,0,14.0,0,3,1,7.0
0,240.0,2,34160.0,26.0,4,11,75.0,4465.0,0,0,18.0,0,1,0,4.0
0,307.0,2,49385.0,19.0,2,3,75.0,3072.0,2,0,16.0,0,1,1,17.0
0,300.0,2,45500.0,24.0,2,2,62.0,3319.0,1,0,17.0,0,1,1,9.0
0,271.0,2,8820.0,1.0,3,10,70.0,16572.0,0,0,11.0,0,3,1,25.0
0,232.0,2,46445.0,1.0,4,7,73.0,13675.0,9,0,12.0,0,1,1,9.0
0,247.0,2,29120.0,1.0,4,3,63.0,2911.0,1,0,13.0,0,3,1,2.0
0,255.0,2,16450.0,1.0,4,3,84.0,5957.0,6,0,13.0,0,2,1,13.0
0,277.0,2,35595.0,1.0,2,7,83.0,3920.0,2,0,14.0,0,1,1,17.0
0,271.0,2,41965.0,1.0,4,3,77.0,6434.0,4,0,17.0,0,4,1,9.0
1,277.0,2,17640.0,10.0,3,7,61.0,10048.0,6,0,11.0,0,2,1,17.0
0,292.0,2,17675.0,1.0,4,8,64.0,10938.0,0,0,25.0,1,4,0,20.0
0,217.0,2,23275.0,15.0,3,3,60.0,2340.0,1,0,19.0,0,1,0,6.0
0,271.0,2,32060.0,17.0,2,3,82.0,6545.0,3,1,13.0,0,3,0,10.0
0,217.0,2,43645.0,4.0,2,11,45.0,6931.0,2,0,14.0,0,4,1,10.0
0,187.0,2,23975.0,4.0,3,3,62.0,4898.0,0,0,12.0,0,4,1,5.0
0,271.0,2,9415.0,1.0,3,7,56.0,2593.0,0,1,11.0,0,3,1,10.0
0,300.0,2,49560.0,1.0,2,7,49.0,16572.0,0,0,19.0,0,4,1,22.0
0,382.0,2,29155.0,1.0,3,3,96.0,2723.0,1,0,11.0,0,2,0,1.0
1,232.0,2,10745.0,29.0,2,7,71.0,3479.0,0,0,11.0,0,2,0,6.0
0,240.0,2,45885.0,1.0,3,3,100.0,2794.0,1,0,20.0,1,3,0,5.0
0,285.0,2,46445.0,1.0,2,3,39.0,5249.0,3,0,18.0,0,4,1,13.0
0,240.0,2,4480.0,1.0,1,2,84.0,2176.0,4,0,13.0,0,4,0,9.0
0,345.0,2,17080.0,1.0,3,2,75.0,16572.0,3,1,12.0,0,2,1,28.0
1,210.0,2,18515.0,1.0,4,3,79.0,3485.0,2,0,11.0,0,3,0,5.0
0,217.0,2,42350.0,1.0,3,7,75.0,6644.0,2,0,19.0,0,2,1,10.0
0,232.0,2,51205.0,23.0,3,7,75.0,5582.0,0,0,21.0,1,2,1,10.0
0,187.0,2,23625.0,1.0,2,3,85.0,4000.0,1,0,12.0,0,4,1,6.0
0,271.0,2,48475.0,20.0,2,7,79.0,13496.0,0,1,14.0,0,2,0,21.0
0,270.0,2,49105.0,1.0,3,3,47.0,3210.0,0,0,11.0,0,3,1,16.0
0,412.0,2,15820.0,1.0,3,7,81.0,16572.0,0,1,14.0,0,3,0,33.0
1,352.0,2,23310.0,29.0,4,3,88.0,11849.0,1,1,12.0,0,4,1,10.0
0,210.0,2,40530.0,1.0,3,7,94.0,2070.0,1,0,23.0,1,4,1,5.0
0,277.0,2,7980.0,1.0,4,7,98.0,6502.0,4,0,14.0,0,2,1,7.0
0,157.0,2,34860.0,1.0,2,7,100.0,3230.0,1,0,17.0,0,1,0,3.0
0,277.0,2,25480.0,1.0,4,7,80.0,13603.0,2,1,18.0,0,1,1,15.0
0,262.0,2,46025.0,22.0,3,3,71.0,11996.0,7,0,18.0,0,2,1,10.0
0,285.0,2,28076.0,1.0,2,7,44.0,5605.0,1,1,24.0,1,3,1,8.0
0,195.0,2,51765.0,1.0,3,3,84.0,6397.0,1,0,20.0,1,1,1,6.0
0,375.0,2,27895.0,1.0,1,3,96.0,16572.0,3,0,14.0,0,1,1,28.0
0,397.0,2,28076.0,1.0,4,7,45.0,16572.0,3,1,16.0,0,4,1,21.0
0,271.0,2,28076.0,1.0,1,3,99.0,4907.0,1,0,25.0,1,3,0,20.0
0,217.0,2,15470.0,1.0,2,3,44.0,4554.0,1,0,18.0,0,1,0,10.0
